OID_,timestamp,heading,speedmph,vehicleid,latitude,longitude
1,1:57:10 AM,348.490297,8,70724,39.10596,-94.709928
2,1:57:10 AM,199.969095,8,80824,39.124126,-94.62659
3,1:57:10 AM,348.717496,10,90924,39.124163,-94.626542
4,1:57:20 AM,343.981395,8,70724,39.10595,-94.709959
5,1:57:20 AM,0.503357,8,80824,39.124068,-94.626715
6,1:57:20 AM,75.790202,11,90924,39.124329,-94.626358
7,1:57:30 AM,250.672377,8,70724,39.105847,-94.710098
8,1:57:30 AM,1.429193,8,80824,39.124347,-94.626708
9,1:57:30 AM,82.704682,12,90924,39.124384,-94.626007
10,1:57:40 AM,268.249848,9,70724,39.105843,-94.710457
11,1:57:40 AM,359.789721,9,80824,39.124626,-94.626704
12,1:57:40 AM,111.245377,8,90924,39.124329,-94.625665
13,1:57:50 AM,263.545613,9,70724,39.105833,-94.710816
14,1:57:50 AM,359.789721,9,80824,39.124904,-94.626706
15,1:57:50 AM,111.245377,9,90924,39.124228,-94.62533
16,1:58:00 AM,263.545613,10,70724,39.105801,-94.711173
17,1:58:00 AM,358.182966,10,80824,39.125183,-94.626712
18,1:58:00 AM,113.427048,8,90924,39.124122,-94.624998
19,1:58:10 AM,264.872723,11,70724,39.105776,-94.711531
20,1:58:10 AM,80.998303,11,80824,39.125412,-94.626618
21,1:58:10 AM,113.427048,7,90924,39.124011,-94.624668
22,1:58:20 AM,260.12117,10,70724,39.105744,-94.711887
23,1:58:20 AM,92.298849,10,80824,39.125399,-94.626259
24,1:58:20 AM,113.427048,8,90924,39.1239,-94.624338
25,1:58:30 AM,260.12117,10,70724,39.105696,-94.712241
26,1:58:30 AM,92.298849,10,80824,39.125388,-94.6259
27,1:58:30 AM,113.427048,9,90924,39.123789,-94.624009
28,1:58:40 AM,260.12117,7,70724,39.105648,-94.712595
29,1:58:40 AM,106.046339,7,80824,39.125359,-94.625543
30,1:58:40 AM,113.427048,9,90924,39.123679,-94.623679
31,1:58:50 AM,259.047172,7,70724,39.1056,-94.712949
32,1:58:50 AM,106.046339,7,80824,39.125282,-94.625198
33,1:58:50 AM,125.978367,9,90924,39.123521,-94.623384
34,1:59:00 AM,259.047172,6,70724,39.105547,-94.713302
35,1:59:00 AM,117.116813,6,80824,39.12516,-94.624875
36,1:59:00 AM,111.49727,8,90924,39.123389,-94.623071
37,1:59:10 AM,39.166878,5,70724,39.105495,-94.713652
38,1:59:10 AM,127.101616,5,80824,39.125011,-94.624574
39,1:59:10 AM,111.49727,9,90924,39.123287,-94.622736
40,1:59:20 AM,81.247541,5,70724,39.105588,-94.713334
41,1:59:20 AM,131.376912,5,80824,39.124835,-94.624295
42,1:59:20 AM,116.950664,11,90924,39.123166,-94.622413
43,1:59:30 AM,80.498625,4,70724,39.105633,-94.712979
44,1:59:30 AM,130.432548,4,80824,39.124653,-94.624023
45,1:59:30 AM,125.428989,8,90924,39.123028,-94.622101
46,1:59:40 AM,80.498625,12,70724,39.105679,-94.712625
47,1:59:40 AM,122.541141,12,80824,39.124484,-94.623739
48,1:59:40 AM,126.814036,8,90924,39.122866,-94.621809
49,1:59:50 AM,80.498625,10,70724,39.105725,-94.71227
50,1:59:50 AM,117.545325,10,80824,39.124344,-94.623428
51,1:59:50 AM,307.734919,8,90924,39.122843,-94.621926
52,2:00:00 AM,76.009045,10,70724,39.105789,-94.711921
53,2:00:00 AM,110.045396,10,80824,39.124232,-94.6231
54,2:00:00 AM,301.149853,8,90924,39.123008,-94.622216
55,2:00:10 AM,85.768637,10,70724,39.10583,-94.711567
56,2:00:10 AM,103.560977,10,80824,39.124152,-94.622756
57,2:00:10 AM,290.845568,9,90924,39.123134,-94.622534
58,2:00:20 AM,85.768637,11,70724,39.10585,-94.711208
59,2:00:20 AM,93.392255,11,80824,39.124114,-94.622402
60,2:00:20 AM,295.130632,10,90924,39.123237,-94.622868
61,2:00:30 AM,82.745281,9,70724,39.105885,-94.710852
62,2:00:30 AM,90.446472,9,80824,39.124106,-94.622043
63,2:00:30 AM,295.130632,10,90924,39.123356,-94.623193
64,2:00:40 AM,82.745281,12,70724,39.105921,-94.710495
65,2:00:40 AM,89.69006,8,80824,39.124107,-94.621683
66,2:00:40 AM,298.882751,9,90924,39.123487,-94.62351
67,2:00:50 AM,97.42171,8,70724,39.105923,-94.710139
68,2:00:50 AM,180.368105,7,80824,39.123911,-94.621523
69,2:00:50 AM,298.882751,8,90924,39.123622,-94.623825
70,2:01:00 AM,300.40497,9,70724,39.105888,-94.710444
71,2:01:00 AM,173.853656,8,80824,39.123984,-94.621569
72,2:01:00 AM,295.587356,9,90924,39.123742,-94.624149
73,2:01:10 AM,268.027682,9,70724,39.105932,-94.710785
74,2:01:10 AM,180.132992,9,80824,39.123761,-94.621522
75,2:01:10 AM,295.587356,9,90924,39.123863,-94.624473
76,2:01:20 AM,268.416969,10,70724,39.10588,-94.711136
77,2:01:20 AM,180.132992,9,80824,39.123483,-94.621522
78,2:01:20 AM,290.532415,8,90924,39.123974,-94.624802
79,2:01:30 AM,265.604548,11,70724,39.105872,-94.711495
80,2:01:30 AM,180.132992,9,80824,39.123204,-94.621523
81,2:01:30 AM,290.532415,8,90924,39.124072,-94.625138
82,2:01:40 AM,285.125701,10,70724,39.105877,-94.711852
83,2:01:40 AM,355.505814,8,80824,39.122964,-94.621544
84,2:01:40 AM,290.532415,12,90924,39.12417,-94.625475
85,2:01:50 AM,284.740299,13,70724,39.105949,-94.712199
86,2:01:50 AM,173.437574,8,80824,39.122889,-94.621541
87,2:01:50 AM,290.532415,8,90924,39.124268,-94.625811
88,2:02:00 AM,263.677155,12,70724,39.105946,-94.712553
89,2:02:00 AM,177.189799,8,80824,39.122611,-94.621518
90,2:02:00 AM,252.01935,9,90924,39.124299,-94.62615
91,2:02:10 AM,266.256575,11,70724,39.105926,-94.712912
92,2:02:10 AM,177.189799,8,80824,39.122333,-94.6215
93,2:02:10 AM,164.631497,9,90924,39.124186,-94.626426
94,2:02:20 AM,262.786983,14,70724,39.105933,-94.713258
95,2:02:20 AM,5.606403,9,80824,39.122523,-94.621549
96,2:02:20 AM,71.853209,10,90924,39.124173,-94.626153
97,2:02:30 AM,195.378953,8,70724,39.10572,-94.713463
98,2:02:30 AM,355.084267,10,80824,39.122801,-94.62155
99,2:02:30 AM,106.38596,11,90924,39.124152,-94.62581
100,2:02:40 AM,17.706978,8,70724,39.10566,-94.713428
101,2:02:40 AM,179.9622,10,80824,39.122728,-94.621602
102,2:02:40 AM,106.38596,10,90924,39.124073,-94.625465
103,2:02:50 AM,85.312903,8,70724,39.105884,-94.713236
104,2:02:50 AM,175.681711,9,80824,39.122453,-94.621605
105,2:02:50 AM,111.858354,13,90924,39.12398,-94.625127
106,2:03:00 AM,82.512931,9,70724,39.105865,-94.712883
107,2:03:00 AM,7.232934,8,80824,39.122619,-94.621632
108,2:03:00 AM,111.858354,12,90924,39.123876,-94.624793
109,2:03:10 AM,82.512931,9,70724,39.105901,-94.712527
110,2:03:10 AM,281.957204,9,80824,39.122896,-94.621655
111,2:03:10 AM,111.858354,11,90924,39.123772,-94.62446
112,2:03:20 AM,100.58004,10,70724,39.105882,-94.712174
113,2:03:20 AM,2.011955,9,80824,39.12316,-94.621581
114,2:03:20 AM,118.260861,14,90924,39.123647,-94.624139
115,2:03:30 AM,256.495452,11,70724,39.105829,-94.711938
116,2:03:30 AM,357.361188,8,80824,39.123439,-94.621577
117,2:03:30 AM,118.260861,8,90924,39.123515,-94.623823
118,2:03:40 AM,259.783651,10,70724,39.105773,-94.71229
119,2:03:40 AM,359.174186,8,80824,39.123717,-94.621591
120,2:03:40 AM,116.136389,8,90924,39.123384,-94.623506
121,2:03:50 AM,261.708514,10,70724,39.105729,-94.712645
122,2:03:50 AM,339.599735,12,80824,39.123992,-94.621634
123,2:03:50 AM,116.136389,8,90924,39.123261,-94.623183
124,2:04:00 AM,261.708514,7,70724,39.105689,-94.713001
125,2:04:00 AM,267.888094,8,80824,39.124073,-94.621908
126,2:04:00 AM,116.136389,9,90924,39.123138,-94.622861
127,2:04:10 AM,262.430439,7,70724,39.105651,-94.713357
128,2:04:10 AM,272.179002,9,80824,39.12407,-94.622267
129,2:04:10 AM,110.491207,9,90924,39.123037,-94.622526
130,2:04:20 AM,80.417233,6,70724,39.105819,-94.713111
131,2:04:20 AM,282.153917,9,80824,39.124086,-94.622626
132,2:04:20 AM,119.731726,10,90924,39.122925,-94.622198
133,2:04:30 AM,93.953422,5,70724,39.105821,-94.712754
134,2:04:30 AM,286.191939,10,80824,39.124151,-94.622975
135,2:04:30 AM,297.368324,11,90924,39.122825,-94.621976
136,2:04:40 AM,87.683139,5,70724,39.105848,-94.712397
137,2:04:40 AM,297.169211,11,80824,39.124245,-94.623311
138,2:04:40 AM,297.368324,10,90924,39.122953,-94.622295
139,2:04:50 AM,264.756059,4,70724,39.105819,-94.712229
140,2:04:50 AM,301.013705,10,80824,39.124373,-94.623631
141,2:04:50 AM,297.368324,10,90924,39.123081,-94.622614
142,2:05:00 AM,263.562608,12,70724,39.105791,-94.712586
143,2:05:00 AM,301.013705,13,80824,39.124516,-94.623939
144,2:05:00 AM,297.368324,7,90924,39.123209,-94.622933
145,2:05:10 AM,262.454905,10,70724,39.105757,-94.712943
146,2:05:10 AM,311.821968,12,80824,39.124709,-94.62419
147,2:05:10 AM,297.368324,7,90924,39.123338,-94.623252
148,2:05:20 AM,55.419982,10,70724,39.105768,-94.713139
149,2:05:20 AM,311.821968,11,80824,39.124894,-94.624458
150,2:05:20 AM,297.368324,6,90924,39.123466,-94.623571
151,2:05:30 AM,203.78973,10,70724,39.1057,-94.712994
152,2:05:30 AM,307.133441,14,80824,39.125064,-94.624743
153,2:05:30 AM,297.368324,5,90924,39.123594,-94.623891
154,2:05:40 AM,259.652022,11,70724,39.105573,-94.71327
155,2:05:40 AM,289.465718,8,80824,39.125185,-94.625066
156,2:05:40 AM,295.609673,5,90924,39.123716,-94.624214
157,2:05:50 AM,259.652022,9,70724,39.105523,-94.713624
