OID_,timestamp,heading,speedmph,vehicleid,latitude,longitude
1,1/17/2022 1:57,52.70363,9,10124,41.768897,-88.154716
2,1/17/2022 1:57,238.365284,12,20224,41.769741,-88.153176
3,1/17/2022 1:57,92.41808,8,30324,41.769217,-88.152472
4,1/17/2022 1:57,91.96888,11,40424,41.769204,-88.151759
5,1/17/2022 1:57,274.673851,10,50524,41.768702,-88.152184
6,1/17/2022 1:57,264.783064,12,60624,39.10575,-94.710068
7,1/17/2022 1:57,348.490297,11,70724,39.10596,-94.709928
8,1/17/2022 1:57,199.969095,9,80824,39.124126,-94.62659
9,1/17/2022 1:57,348.717496,8,90924,39.124163,-94.626542
10,1/17/2022 1:57,50.393675,11,10124,41.769415,-88.153835
11,1/17/2022 1:57,232.151127,11,20224,41.769225,-88.153893
12,1/17/2022 1:57,273.045599,12,30324,41.76911,-88.152363
13,1/17/2022 1:57,355.734634,11,40424,41.769119,-88.151797
14,1/17/2022 1:57,316.552773,9,50524,41.768457,-88.152652
15,1/17/2022 1:57,265.161398,8,60624,39.105666,-94.711186
16,1/17/2022 1:57,268.249848,9,70724,39.105842,-94.710502
17,1/17/2022 1:57,359.789721,9,80824,39.124661,-94.626704
18,1/17/2022 1:57,111.245377,11,90924,39.124316,-94.625623
19,1/17/2022 1:57,75.166105,9,10124,41.769842,-88.152891
20,1/17/2022 1:57,226.348189,11,20224,41.768961,-88.154406
21,1/17/2022 1:57,272.974803,12,30324,41.768911,-88.152126
22,1/17/2022 1:57,355.734634,10,40424,41.769127,-88.151797
23,1/17/2022 1:57,323.102548,9,50524,41.768516,-88.152426
24,1/17/2022 1:57,260.978139,11,60624,39.105557,-94.7123
25,1/17/2022 1:57,264.872723,12,70724,39.10577,-94.71162
26,1/17/2022 1:57,93.587348,11,80824,39.125409,-94.626528
27,1/17/2022 1:57,113.427048,10,90924,39.123983,-94.624586
28,1/17/2022 1:57,266.21176,12,10124,41.769883,-88.152718
29,1/17/2022 1:57,244.622504,10,20224,41.769022,-88.153902
30,1/17/2022 1:57,90.640212,12,30324,41.768822,-88.151974
31,1/17/2022 1:57,102.065344,11,50524,41.768681,-88.152413
32,1/17/2022 1:57,260.429775,10,60624,39.105406,-94.713405
33,1/17/2022 1:57,260.12117,8,70724,39.10563,-94.712728
34,1/17/2022 1:57,106.046339,9,80824,39.12533,-94.625414
35,1/17/2022 1:57,125.978367,11,90924,39.123623,-94.623565
36,1/17/2022 1:57,228.562638,8,10124,41.769547,-88.153709
37,1/17/2022 1:57,65.843078,10,20224,41.768966,-88.153819
38,1/17/2022 1:57,142.099043,9,50524,41.768524,-88.152108
39,1/17/2022 1:57,90.309902,11,60624,39.105342,-94.713347
40,1/17/2022 1:57,81.247541,11,70724,39.105567,-94.713511
41,1/17/2022 1:57,127.101616,12,80824,39.124927,-94.62443
42,1/17/2022 1:57,116.950664,10,90924,39.123229,-94.622573
43,1/17/2022 1:58,229.857999,11,10124,41.769007,-88.154568
44,1/17/2022 1:58,73.955157,9,20224,41.768956,-88.153825
45,1/17/2022 1:58,88.137741,10,60624,39.105349,-94.712225
46,1/17/2022 1:58,80.498625,10,70724,39.105708,-94.712403
47,1/17/2022 1:58,117.545325,8,80824,39.124393,-94.623547
48,1/17/2022 1:58,307.734919,9,90924,39.122779,-94.621819
49,1/17/2022 1:58,50.097937,10,10124,41.769364,-88.154039
50,1/17/2022 1:58,354.32101,9,20224,41.769545,-88.153126
51,1/17/2022 1:58,86.923349,9,60624,39.105387,-94.711103
52,1/17/2022 1:58,85.768637,11,70724,39.105845,-94.711298
53,1/17/2022 1:58,93.392255,11,80824,39.124118,-94.622492
54,1/17/2022 1:58,290.845568,9,90924,39.123209,-94.622786
55,1/17/2022 1:58,69.768642,11,10124,41.769848,-88.153134
56,1/17/2022 1:58,214.545851,11,20224,41.769444,-88.153536
57,1/17/2022 1:58,229.844574,9,60624,39.105519,-94.710593
58,1/17/2022 1:58,97.42171,10,70724,39.105927,-94.710183
59,1/17/2022 1:58,180.368105,10,80824,39.123946,-94.621523
60,1/17/2022 1:58,298.882751,9,90924,39.123605,-94.623786
61,1/17/2022 1:58,87.806322,10,10124,41.769877,-88.152023
62,1/17/2022 1:58,233.25601,9,20224,41.769206,-88.153562
63,1/17/2022 1:58,266.246416,9,60624,39.105425,-94.711693
64,1/17/2022 1:58,268.416969,9,70724,39.10588,-94.711136
65,1/17/2022 1:58,180.132992,11,80824,39.123483,-94.621522
66,1/17/2022 1:58,290.532415,8,90924,39.123974,-94.624802
67,1/17/2022 1:58,269.457091,9,10124,41.769833,-88.151763
68,1/17/2022 1:58,40.865299,12,20224,41.769052,-88.1535
69,1/17/2022 1:58,273.460211,8,60624,39.10538,-94.712814
70,1/17/2022 1:58,284.740299,9,70724,39.105958,-94.712242
71,1/17/2022 1:58,173.437574,10,80824,39.122855,-94.621535
72,1/17/2022 1:58,290.532415,8,90924,39.12428,-94.625853
73,1/17/2022 1:58,88.582963,9,10124,41.76981,-88.15185
74,1/17/2022 1:58,176.000265,8,20224,41.769187,-88.15257
75,1/17/2022 1:58,85.382577,8,60624,39.105445,-94.712115
76,1/17/2022 1:58,225.819161,9,70724,39.105892,-94.713327
77,1/17/2022 1:58,5.606403,9,80824,39.122592,-94.621541
78,1/17/2022 1:58,71.853209,8,90924,39.124195,-94.626068
79,1/17/2022 1:59,180.670246,9,10124,41.769555,-88.152244
80,1/17/2022 1:59,293.89005,11,20224,41.768673,-88.153208
81,1/17/2022 1:59,85.231493,8,60624,39.105516,-94.710996
82,1/17/2022 1:59,85.312903,8,70724,39.105893,-94.713102
83,1/17/2022 1:59,334.674915,9,80824,39.122453,-94.62163
84,1/17/2022 1:59,111.858354,12,90924,39.123941,-94.625002
85,1/17/2022 1:59,215.50429,8,10124,41.769493,-88.152922
86,1/17/2022 1:59,140.968417,10,20224,41.768587,-88.153864
87,1/17/2022 1:59,265.522237,12,60624,39.105578,-94.710761
88,1/17/2022 1:59,100.58004,8,70724,39.105857,-94.711998
89,1/17/2022 1:59,2.011955,9,80824,39.1233,-94.621574
90,1/17/2022 1:59,118.260861,12,90924,39.123581,-94.623981
91,1/17/2022 1:59,201.480923,8,10124,41.769753,-88.152768
92,1/17/2022 1:59,331.953861,11,20224,41.768847,-88.153536
93,1/17/2022 1:59,263.880005,12,60624,39.105507,-94.71188
94,1/17/2022 1:59,261.708514,8,70724,39.105704,-94.712867
95,1/17/2022 1:59,272.01749,8,80824,39.124071,-94.621774
96,1/17/2022 1:59,116.136389,12,90924,39.123184,-94.622982
97,1/17/2022 1:59,10.005784,8,10124,41.769743,-88.152902
98,1/17/2022 1:59,81.640875,10,20224,41.769141,-88.152871
99,1/17/2022 1:59,81.929374,12,60624,39.105512,-94.712164
100,1/17/2022 1:59,93.953422,12,70724,39.105826,-94.712844
