OID_,timestamp,heading,speedmph,vehicleid,latitude,longitude
1,1:57:10 AM,52.70363,9,10124,41.768897,-88.154716
2,1:57:10 AM,238.365284,12,20224,41.769741,-88.153176
3,1:57:10 AM,92.41808,8,30324,41.769217,-88.152472
4,1:57:10 AM,91.96888,11,40424,41.769204,-88.151759
5,1:57:10 AM,274.673851,10,50524,41.768702,-88.152184
6,1:57:10 AM,264.783064,12,60624,39.10575,-94.710068
7,1:57:10 AM,348.490297,11,70724,39.10596,-94.709928
8,1:57:10 AM,199.969095,9,80824,39.124126,-94.62659
9,1:57:10 AM,348.717496,8,90924,39.124163,-94.626542
10,1:57:20 AM,50.393675,11,10124,41.769415,-88.153835
11,1:57:20 AM,232.151127,11,20224,41.769225,-88.153893
12,1:57:20 AM,273.045599,12,30324,41.76911,-88.152363
13,1:57:20 AM,355.734634,11,40424,41.769119,-88.151797
14,1:57:20 AM,316.552773,9,50524,41.768457,-88.152652
15,1:57:20 AM,265.161398,8,60624,39.105666,-94.711186
16,1:57:20 AM,268.249848,9,70724,39.105842,-94.710502
17,1:57:20 AM,359.789721,9,80824,39.124661,-94.626704
18,1:57:20 AM,111.245377,11,90924,39.124316,-94.625623
19,1:57:30 AM,75.166105,9,10124,41.769842,-88.152891
20,1:57:30 AM,226.348189,11,20224,41.768961,-88.154406
21,1:57:30 AM,272.974803,12,30324,41.768911,-88.152126
22,1:57:30 AM,355.734634,10,40424,41.769127,-88.151797
23,1:57:30 AM,323.102548,9,50524,41.768516,-88.152426
24,1:57:30 AM,260.978139,11,60624,39.105557,-94.7123
25,1:57:30 AM,264.872723,12,70724,39.10577,-94.71162
26,1:57:30 AM,93.587348,11,80824,39.125409,-94.626528
27,1:57:30 AM,113.427048,10,90924,39.123983,-94.624586
28,1:57:40 AM,266.21176,12,10124,41.769883,-88.152718
29,1:57:40 AM,244.622504,10,20224,41.769022,-88.153902
30,1:57:40 AM,90.640212,12,30324,41.768822,-88.151974
31,1:57:40 AM,102.065344,11,50524,41.768681,-88.152413
32,1:57:40 AM,260.429775,10,60624,39.105406,-94.713405
33,1:57:40 AM,260.12117,8,70724,39.10563,-94.712728
34,1:57:40 AM,106.046339,9,80824,39.12533,-94.625414
35,1:57:40 AM,125.978367,11,90924,39.123623,-94.623565
36,1:57:50 AM,228.562638,8,10124,41.769547,-88.153709
37,1:57:50 AM,65.843078,10,20224,41.768966,-88.153819
38,1:57:50 AM,142.099043,9,50524,41.768524,-88.152108
39,1:57:50 AM,90.309902,11,60624,39.105342,-94.713347
